exercise_name,muscle
Triceps Dip (Weighted),Triceps
Triceps Extension (Barbell),Triceps
Triceps Extension (Cable),Triceps
Triceps Extension (Dumbbell),Triceps
Triceps Extension (Machine),Triceps
Triceps Extension (Suspension),Triceps
Triceps Kickback (Cable),Triceps
Triceps Kickback (Dumbbell),Triceps
Triceps Pressdown,Triceps
Triceps Pushdown,Triceps
Upright Row (Barbell),Shoulders
Upright Row (Cable)),Shoulders
Upright Row (Dumbbell),Shoulders
Waiter Curl (Dumbbell),Biceps
Walking Lunge (Dumbbell),Quadriceps
Walking Lunge),Quadriceps
Wall Sit S),Quadriceps
Wide-Elbow Triceps Press (Dumbbell),Triceps
Wrist Roller S),Forearms
Zercher Squat),Quadriceps
Zottman Curl (Dumbbell)),Biceps
