Bodyweight,Beginner,Novice,Intermediate,Advanced,Elite,Exercise
55,-5 kg,+10 kg,+27 kg,+46 kg,+66 kg,Chin Ups
60,-4 kg,+11 kg,+29 kg,+49 kg,+69 kg,Chin Ups
65,-3 kg,+12 kg,+31 kg,+51 kg,+73 kg,Chin Ups
70,-3 kg,+13 kg,+32 kg,+53 kg,+75 kg,Chin Ups
75,-3 kg,+14 kg,+34 kg,+55 kg,+78 kg,Chin Ups
80,-3 kg,+15 kg,+35 kg,+57 kg,+80 kg,Chin Ups
85,-3 kg,+15 kg,+36 kg,+59 kg,+82 kg,Chin Ups
90,-4 kg,+15 kg,+36 kg,+60 kg,+84 kg,Chin Ups
95,-4 kg,+15 kg,+37 kg,+61 kg,+85 kg,Chin Ups
100,-5 kg,+15 kg,+37 kg,+62 kg,+87 kg,Chin Ups
105,-5 kg,+15 kg,+37 kg,+62 kg,+88 kg,Chin Ups
110,-6 kg,+14 kg,+37 kg,+63 kg,+88 kg,Chin Ups
115,-7 kg,+14 kg,+37 kg,+63 kg,+89 kg,Chin Ups
120,-8 kg,+13 kg,+37 kg,+63 kg,+89 kg,Chin Ups
125,-9 kg,+12 kg,+37 kg,+63 kg,+90 kg,Chin Ups
130,-10 kg,+12 kg,+36 kg,+63 kg,+90 kg,Chin Ups
135,-11 kg,+11 kg,+36 kg,+62 kg,+90 kg,Chin Ups
140,-13 kg,+10 kg,+35 kg,+62 kg,+90 kg,Chin Ups
50,22,35,50,68,88,Close Grip Bench Press
55,28,41,57,77,98,Close Grip Bench Press
60,33,47,65,85,107,Close Grip Bench Press
65,38,53,72,93,116,Close Grip Bench Press
70,43,59,78,101,125,Close Grip Bench Press
75,48,65,85,108,133,Close Grip Bench Press
80,52,70,91,116,141,Close Grip Bench Press
85,57,76,98,123,149,Close Grip Bench Press
90,62,81,104,129,157,Close Grip Bench Press
95,67,86,110,136,164,Close Grip Bench Press
100,71,92,116,143,171,Close Grip Bench Press
105,76,97,121,149,178,Close Grip Bench Press
110,80,101,127,155,184,Close Grip Bench Press
115,84,106,132,161,191,Close Grip Bench Press
120,88,111,137,167,197,Close Grip Bench Press
125,93,116,143,172,203,Close Grip Bench Press
130,97,120,148,178,209,Close Grip Bench Press
135,101,125,153,183,215,Close Grip Bench Press
140,105,129,157,189,221,Close Grip Bench Press
50,3,12,26,46,71,Dumbbell Calf Raise
55,4,14,29,50,75,Dumbbell Calf Raise
60,6,16,32,53,79,Dumbbell Calf Raise
65,7,17,34,57,83,Dumbbell Calf Raise
70,8,19,37,60,87,Dumbbell Calf Raise
75,9,21,39,63,91,Dumbbell Calf Raise
80,10,23,41,66,94,Dumbbell Calf Raise
85,11,24,44,69,98,Dumbbell Calf Raise
90,12,26,46,71,101,Dumbbell Calf Raise
95,13,27,48,74,104,Dumbbell Calf Raise
100,14,29,50,76,107,Dumbbell Calf Raise
105,15,30,52,79,110,Dumbbell Calf Raise
110,16,32,54,81,113,Dumbbell Calf Raise
115,17,33,56,83,115,Dumbbell Calf Raise
120,18,35,57,86,118,Dumbbell Calf Raise
